Start Time,End Time,Facility Code,Participant Code,Status,Reason,Outage (MW),Recovery Time (Minutes),Description,
12/6/2016 8:00,12/15/2016 15:30,PJRH_GT11,PJRH,Approved,Scheduled (Planned),123,48,Exh Work,
12/13/2016 10:00,12/13/2016 14:30,KORL_GT3,KORL,Approved,Scheduled (Planned),100.1,2,FSNL,
12/13/2016 6:00,12/13/2016 10:30,KORL_GT3,KORL,Approved,Scheduled (Planned),100.1,2,FSNL,
12/8/2016 6:00,12/8/2016 17:30,TESLA_PICTON_G1,TSLA_MGT,Approved,Scheduled (Planned),9.9,0,Maintenance,
12/5/2016 10:30,12/7/2016 13:30,TESLA_PICTON_G1,TSLA_MGT,Approved,Scheduled (Planned),9.9,0,Maintenance,
12/3/2016 21:00,12/3/2016 22:30,BW1_GREENWATERS_G2,GW,Approved,Opportunistic Maintenance (Planned),156,1,Transformer testing,
12/3/2016 19:00,12/3/2016 20:30,BW1_GREENWATERS_G2,GW,Approved,Opportunistic Maintenance (Planned),156,1,Transformer testing,
11/30/2016 21:30,12/1/2016 9:00,PJRH_GT11,PJRH,Approved,Forced,116,,FO,
11/22/2016 10:00,11/22/2016 10:00,AURICON_PNJ_U1,AURICON,Approved,Forced,17.411,0,Due to issues with the high fogging system,
12/3/2016 8:00,12/3/2016 15:30,ENRG_KALGOORLIE_GT3,ENRG,Approved,Scheduled (Planned),60,39,GT1B outage,
11/22/2016 14:30,11/22/2016 14:30,AURICON_PNJ_U1,AURICON,Approved,Forced,9.568,0,Slow ramp up due to Blade Path Temperature control limit,
11/22/2016 14:30,11/22/2016 14:30,AURICON_PNJ_U1,AURICON,Cancelled By Market Participant,Forced,143,0,Slow ramp up due to Blade Path Temperature control limit,
11/22/2016 14:30,11/22/2016 14:30,AURICON_PNJ_U1,AURICON,Approved,Forced,8.951,0,Slow ramp up due to Blade Path Temperature control limit,
11/22/2016 14:30,11/22/2016 14:30,AURICON_PNJ_U1,AURICON,Cancelled By Market Participant,Forced,9.568,0,Slow ramp up due to Blade Path Temperature control limit,
11/30/2016 21:00,11/30/2016 21:00,MELK_G7,MELK,Approved,Forced,7.48,,Loss of a mill,
11/29/2016 20:30,11/29/2016 21:00,PJRH_GT11,PJRH,Approved,Forced,123,,FO,
11/28/2016 22:00,11/29/2016 16:30,ENRG_KALGOORLIE_GT3,ENRG,Approved,Consequential,24,0,FO Due to network disturbance fault tripping both unit protection systems,
11/28/2016 22:00,11/28/2016 22:30,WEST_KALGOORLIE_GT2,WGUTD,Approved,Consequential,36,0,FO Due to network disturbance fault tripping both unit protection systems,
11/28/2016 0:30,11/28/2016 6:30,PJRH_GT11,PJRH,Approved,Forced,116,,FO,
11/26/2016 10:00,11/27/2016 11:30,PJRH_GT11,PJRH,Approved,Forced,116,,FO,
